"","subjectid","activity","feature","axis","count","average"
"69",1,"STANDING","fBodyAcc","Z",106,-0.981617179150943
"70",1,"STANDING","fBodyAccJerk","X",106,-0.994852278301887
"71",1,"STANDING","fBodyAccJerk","Y",106,-0.986218465660377
"72",1,"STANDING","fBodyAccJerk","Z",106,-0.991550992075472
"73",1,"STANDING","fBodyAccMag",NA,106,-0.983835082924528
"74",1,"STANDING","fBodyBodyAccJerkMag",NA,106,-0.992539240471698
"75",1,"STANDING","fBodyBodyGyroJerkMag",NA,106,-0.99474325009434
"76",1,"STANDING","fBodyBodyGyroMag",NA,106,-0.981541847735849
"77",1,"STANDING","fBodyGyro","X",106,-0.986941957358491
"78",1,"STANDING","fBodyGyro","Y",106,-0.988046091792453
"79",1,"STANDING","fBodyGyro","Z",106,-0.981559226415094
"80",1,"STANDING","tBodyAcc","X",106,-0.358421136226415
"81",1,"STANDING","tBodyAcc","Y",106,-0.494663823259434
"82",1,"STANDING","tBodyAcc","Z",106,-0.545188847358491
"83",1,"STANDING","tBodyAccJerk","X",106,-0.459613944018868
"84",1,"STANDING","tBodyAccJerk","Y",106,-0.488836500762264
"85",1,"STANDING","tBodyAccJerk","Z",106,-0.497968213452792
"86",1,"STANDING","tBodyAccJerkMag",NA,106,-0.992732
"87",1,"STANDING","tBodyAccMag",NA,106,-0.983110568113208
"88",1,"STANDING","tBodyGyro","X",106,-0.505589840700849
"89",1,"STANDING","tBodyGyro","Y",106,-0.523565830490566
"90",1,"STANDING","tBodyGyro","Z",106,-0.452922437990566
"91",1,"STANDING","tBodyGyroJerk","X",106,-0.546277159943396
"92",1,"STANDING","tBodyGyroJerk","Y",106,-0.519600352575472
"93",1,"STANDING","tBodyGyroJerk","Z",106,-0.520529506920755
"94",1,"STANDING","tBodyGyroJerkMag",NA,106,-0.994850014622642
"95",1,"STANDING","tBodyGyroMag",NA,106,-0.977591910754717
"96",1,"STANDING","tGravityAcc","X",106,-0.0254054923584906
"97",1,"STANDING","tGravityAcc","Y",106,-0.62710489509434
"98",1,"STANDING","tGravityAcc","Z",106,-0.481416740631132
"99",1,"STANDING","tGravityAccMag",NA,106,-0.983110568113208
"100",1,"WALKING","fBodyAcc","X",190,-0.260964512952632
"101",1,"WALKING","fBodyAcc","Y",190,0.0728763666240526
"102",1,"WALKING","fBodyAcc","Z",190,-0.305623434642105
"103",1,"WALKING","fBodyAccJerk","X",190,-0.152066785437947
"104",1,"WALKING","fBodyAccJerk","Y",190,0.0357571665114684
"105",1,"WALKING","fBodyAccJerk","Z",190,-0.501856332526316
"106",1,"WALKING","fBodyAccMag",NA,190,-0.263328018735789
"107",1,"WALKING","fBodyBodyAccJerkMag",NA,190,-0.0803059015182105
"108",1,"WALKING","fBodyBodyGyroJerkMag",NA,190,-0.350455252784211
"109",1,"WALKING","fBodyBodyGyroMag",NA,190,-0.260135261440526
"110",1,"WALKING","fBodyGyro","X",190,-0.427862067926316
"111",1,"WALKING","fBodyGyro","Y",190,-0.068283788111579
"112",1,"WALKING","fBodyGyro","Z",190,-0.346251583894737
"113",1,"WALKING","tBodyAcc","X",190,-0.00320475005263158
"114",1,"WALKING","tBodyAcc","Y",190,0.04853875911
"115",1,"WALKING","tBodyAcc","Z",190,-0.185588002878947
"116",1,"WALKING","tBodyAccJerk","X",190,-0.01978698456
"117",1,"WALKING","tBodyAccJerk","Y",190,0.0476373051784211
"118",1,"WALKING","tBodyAccJerk","Z",190,-0.253434097352105
"119",1,"WALKING","tBodyAccJerkMag",NA,190,-0.107950279547053
"120",1,"WALKING","tBodyAccMag",NA,190,-0.178329911094211
"121",1,"WALKING","tBodyGyro","X",190,-0.257683224710368
"122",1,"WALKING","tBodyGyro","Y",190,-0.0620689074355263
"123",1,"WALKING","tBodyGyro","Z",190,-0.129660906084737
"124",1,"WALKING","tBodyGyroJerk","X",190,-0.148709698564211
"125",1,"WALKING","tBodyGyroJerk","Y",190,-0.172155690788947
"126",1,"WALKING","tBodyGyroJerk","Z",190,-0.225193191066842
"127",1,"WALKING","tBodyGyroJerkMag",NA,190,-0.312014278989474
"128",1,"WALKING","tBodyGyroMag",NA,190,-0.173978958531579
"129",1,"WALKING","tGravityAcc","X",190,-0.0206932205263158
"130",1,"WALKING","tGravityAcc","Y",190,-0.626735491368421
"131",1,"WALKING","tGravityAcc","Z",190,-0.507910045052632
"132",1,"WALKING","tGravityAccMag",NA,190,-0.178329911094211
"133",1,"WALKING_DOWNSTAIRS","fBodyAcc","X",98,0.031280011144898
"134",1,"WALKING_DOWNSTAIRS","fBodyAcc","Y",98,-0.0557069160585714
"135",1,"WALKING_DOWNSTAIRS","fBodyAcc","Z",98,-0.261751183193878
"136",1,"WALKING_DOWNSTAIRS","fBodyAccJerk","X",98,-0.0569958821262245
"137",1,"WALKING_DOWNSTAIRS","fBodyAccJerk","Y",98,-0.131623583263265
"138",1,"WALKING_DOWNSTAIRS","fBodyAccJerk","Z",98,-0.3450281
"139",1,"WALKING_DOWNSTAIRS","fBodyAccMag",NA,98,-0.0449728833846939
"140",1,"WALKING_DOWNSTAIRS","fBodyBodyAccJerkMag",NA,98,-0.0389168828969388
"141",1,"WALKING_DOWNSTAIRS","fBodyBodyGyroJerkMag",NA,98,-0.336941617894898
"142",1,"WALKING_DOWNSTAIRS","fBodyBodyGyroMag",NA,98,-0.292035337933673
"143",1,"WALKING_DOWNSTAIRS","fBodyGyro","X",98,-0.423936058732653
"144",1,"WALKING_DOWNSTAIRS","fBodyGyro","Y",98,-0.118558490563265
"145",1,"WALKING_DOWNSTAIRS","fBodyGyro","Z",98,-0.135156496252041
"146",1,"WALKING_DOWNSTAIRS","tBodyAcc","X",98,0.159611829378276
"147",1,"WALKING_DOWNSTAIRS","tBodyAcc","Y",98,-0.0209272240295918
"148",1,"WALKING_DOWNSTAIRS","tBodyAcc","Z",98,-0.169000202056122
"149",1,"WALKING_DOWNSTAIRS","tBodyAccJerk","X",98,0.020935727972449
"150",1,"WALKING_DOWNSTAIRS","tBodyAccJerk","Y",98,-0.0359754708
"151",1,"WALKING_DOWNSTAIRS","tBodyAccJerk","Z",98,-0.178353502672449
"152",1,"WALKING_DOWNSTAIRS","tBodyAccJerkMag",NA,98,-0.0576176002530612
"153",1,"WALKING_DOWNSTAIRS","tBodyAccMag",NA,98,0.0235363210185714
"154",1,"WALKING_DOWNSTAIRS","tBodyGyro","X",98,-0.246554366618878
"155",1,"WALKING_DOWNSTAIRS","tBodyGyro","Y",98,-0.108643161979592
"156",1,"WALKING_DOWNSTAIRS","tBodyGyro","Z",98,-0.017308720019898
"157",1,"WALKING_DOWNSTAIRS","tBodyGyroJerk","X",98,-0.28049327293602
"158",1,"WALKING_DOWNSTAIRS","tBodyGyroJerk","Y",98,-0.141407552933673
"159",1,"WALKING_DOWNSTAIRS","tBodyGyroJerk","Z",98,-0.14790379317449
"160",1,"WALKING_DOWNSTAIRS","tBodyGyroJerkMag",NA,98,-0.300987244438776
"161",1,"WALKING_DOWNSTAIRS","tBodyGyroMag",NA,98,-0.150732811214286
"162",1,"WALKING_DOWNSTAIRS","tGravityAcc","X",98,-0.00934269632653062
"163",1,"WALKING_DOWNSTAIRS","tGravityAcc","Y",98,-0.601814498979592
"164",1,"WALKING_DOWNSTAIRS","tGravityAcc","Z",98,-0.479029826847959
"165",1,"WALKING_DOWNSTAIRS","tGravityAccMag",NA,98,0.0235363210185714
"166",1,"WALKING_UPSTAIRS","fBodyAcc","X",106,-0.370874986415094
"167",1,"WALKING_UPSTAIRS","fBodyAcc","Y",106,-0.0846036050773585
"168",1,"WALKING_UPSTAIRS","fBodyAcc","Z",106,-0.173696573845283
"169",1,"WALKING_UPSTAIRS","fBodyAccJerk","X",106,-0.470891135754717
"170",1,"WALKING_UPSTAIRS","fBodyAccJerk","Y",106,-0.397610826415094
"171",1,"WALKING_UPSTAIRS","fBodyAccJerk","Z",106,-0.705757277358491
"172",1,"WALKING_UPSTAIRS","fBodyAccMag",NA,106,-0.384328023113208
"173",1,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag",NA,106,-0.487856008113208
"174",1,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag",NA,106,-0.664297801792453
"175",1,"WALKING_UPSTAIRS","fBodyBodyGyroMag",NA,106,-0.254473487830189
"176",1,"WALKING_UPSTAIRS","fBodyGyro","X",106,-0.529252079339623
"177",1,"WALKING_UPSTAIRS","fBodyGyro","Y",106,-0.083967851745283
"178",1,"WALKING_UPSTAIRS","fBodyGyro","Z",106,-0.512652526509434
"179",1,"WALKING_UPSTAIRS","tBodyAcc","X",106,-0.0496231677358491
"180",1,"WALKING_UPSTAIRS","tBodyAcc","Y",106,-0.0131367071406604
"181",1,"WALKING_UPSTAIRS","tBodyAcc","Z",106,-0.0583906204707547
"182",1,"WALKING_UPSTAIRS","tBodyAccJerk","X",106,-0.172735578906604
"183",1,"WALKING_UPSTAIRS","tBodyAccJerk","Y",106,-0.179394059209434
"184",1,"WALKING_UPSTAIRS","tBodyAccJerk","Z",106,-0.376078037927358
"185",1,"WALKING_UPSTAIRS","tBodyAccJerkMag",NA,106,-0.472747534150943
"186",1,"WALKING_UPSTAIRS","tBodyAccMag",NA,106,-0.227449279990566
"187",1,"WALKING_UPSTAIRS","tBodyGyro","X",106,-0.247160862386792
"188",1,"WALKING_UPSTAIRS","tBodyGyro","Y",106,-0.081032415645283
"189",1,"WALKING_UPSTAIRS","tBodyGyro","Z",106,-0.224404564253774
"190",1,"WALKING_UPSTAIRS","tBodyGyroJerk","X",106,-0.368509638250943
"191",1,"WALKING_UPSTAIRS","tBodyGyroJerk","Y",106,-0.321922622338679
"192",1,"WALKING_UPSTAIRS","tBodyGyroJerk","Z",106,-0.323522277514811
"193",1,"WALKING_UPSTAIRS","tBodyGyroJerkMag",NA,106,-0.621717954716981
"194",1,"WALKING_UPSTAIRS","tBodyGyroMag",NA,106,-0.137677454011321
"195",1,"WALKING_UPSTAIRS","tGravityAcc","X",106,-0.0315079651886793
"196",1,"WALKING_UPSTAIRS","tGravityAcc","Y",106,-0.657501298773585
"197",1,"WALKING_UPSTAIRS","tGravityAcc","Z",106,-0.493891175066038
"198",1,"WALKING_UPSTAIRS","tGravityAccMag",NA,106,-0.227449279990566
"199",2,"LAYING","fBodyAcc","X",96,-0.9749857709375
"200",2,"LAYING","fBodyAcc","Y",96,-0.980412991770833
"201",2,"LAYING","fBodyAcc","Z",96,-0.9845865834375
"202",2,"LAYING","fBodyAccJerk","X",96,-0.986531943333333
"203",2,"LAYING","fBodyAccJerk","Y",96,-0.983877821666667
"204",2,"LAYING","fBodyAccJerk","Z",96,-0.9877712515625
"205",2,"LAYING","fBodyAccMag",NA,96,-0.9751157921875
"206",2,"LAYING","fBodyBodyAccJerkMag",NA,96,-0.984971301979167
"207",2,"LAYING","fBodyBodyGyroJerkMag",NA,96,-0.989870681354167
"208",2,"LAYING","fBodyBodyGyroMag",NA,96,-0.966605675729167
"209",2,"LAYING","fBodyGyro","X",96,-0.987645914166667
"210",2,"LAYING","fBodyGyro","Y",96,-0.9826161259375
"211",2,"LAYING","fBodyGyro","Z",96,-0.962923054895833
"212",2,"LAYING","tBodyAcc","X",96,-0.346343030416667
"213",2,"LAYING","tBodyAcc","Y",96,-0.499218069254167
"214",2,"LAYING","tBodyAcc","Z",96,-0.545739453645833
"215",2,"LAYING","tBodyAccJerk","X",96,-0.451637458791667
"216",2,"LAYING","tBodyAccJerk","Y",96,-0.485458876399062
"217",2,"LAYING","tBodyAccJerk","Z",96,-0.495122331665625
"218",2,"LAYING","tBodyAccJerkMag",NA,96,-0.986629886145833
"219",2,"LAYING","tBodyAccMag",NA,96,-0.9751546990625
"220",2,"LAYING","tBodyGyro","X",96,-0.503375919833333
"221",2,"LAYING","tBodyGyro","Y",96,-0.547046216770833
"222",2,"LAYING","tBodyGyro","Z",96,-0.40771185715625
"223",2,"LAYING","tBodyGyroJerk","X",96,-0.5476049916875
"224",2,"LAYING","tBodyGyroJerk","Y",96,-0.5127132777625
"225",2,"LAYING","tBodyGyroJerk","Z",96,-0.529107061666667
"226",2,"LAYING","tBodyGyroJerkMag",NA,96,-0.9907425846875
"227",2,"LAYING","tBodyGyroMag",NA,96,-0.955587811770833
"228",2,"LAYING","tGravityAcc","X",96,-0.734384339791667
"229",2,"LAYING","tGravityAcc","Y",96,-0.117837612916667
"230",2,"LAYING","tGravityAcc","Z",96,-0.168697769270833
"231",2,"LAYING","tGravityAccMag",NA,96,-0.9751546990625
"232",2,"SITTING","fBodyAcc","X",92,-0.986582965326087
"233",2,"SITTING","fBodyAcc","Y",92,-0.953708626304348
"234",2,"SITTING","fBodyAcc","Z",92,-0.963512518369565
"235",2,"SITTING","fBodyAccJerk","X",92,-0.988653950543478
"236",2,"SITTING","fBodyAccJerk","Y",92,-0.978971965652174
"237",2,"SITTING","fBodyAccJerk","Z",92,-0.986849927173913
"238",2,"SITTING","fBodyAccMag",NA,92,-0.958424675217391
"239",2,"SITTING","fBodyBodyAccJerkMag",NA,92,-0.983999442391304
"240",2,"SITTING","fBodyBodyGyroJerkMag",NA,92,-0.989747429891304
"241",2,"SITTING","fBodyBodyGyroMag",NA,92,-0.966613170652174
"242",2,"SITTING","fBodyGyro","X",92,-0.984714945543478
"243",2,"SITTING","fBodyGyro","Y",92,-0.979728556195652
"244",2,"SITTING","fBodyGyro","Z",92,-0.961668741086957
"245",2,"SITTING","tBodyAcc","X",92,-0.354867463913043
"246",2,"SITTING","tBodyAcc","Y",92,-0.483196246429348
"247",2,"SITTING","tBodyAcc","Z",92,-0.534523222097826
"248",2,"SITTING","tBodyAccJerk","X",92,-0.457899707706522
"249",2,"SITTING","tBodyAccJerk","Y",92,-0.483144252151196
"250",2,"SITTING","tBodyAccJerk","Z",92,-0.489956371220217
"251",2,"SITTING","tBodyAccJerkMag",NA,92,-0.985625290543478
"252",2,"SITTING","tBodyAccMag",NA,92,-0.960487534021739
"253",2,"SITTING","tBodyGyro","X",92,-0.515606344934783
"254",2,"SITTING","tBodyGyro","Y",92,-0.519424103330435
"255",2,"SITTING","tBodyGyro","Z",92,-0.45928798123913
"256",2,"SITTING","tBodyGyroJerk","X",92,-0.541670932163044
"257",2,"SITTING","tBodyGyroJerk","Y",92,-0.516224908847826
"258",2,"SITTING","tBodyGyroJerk","Z",92,-0.514563711151087
"259",2,"SITTING","tBodyGyroJerkMag",NA,92,-0.99033820673913
"260",2,"SITTING","tBodyGyroMag",NA,92,-0.953674355652174
"261",2,"SITTING","tGravityAcc","X",92,-0.0197557439130435
"262",2,"SITTING","tGravityAcc","Y",92,-0.53119014877113
"263",2,"SITTING","tGravityAcc","Z",92,-0.377844552141304
"264",2,"SITTING","tGravityAccMag",NA,92,-0.960487534021739
"265",2,"STANDING","fBodyAcc","X",108,-0.986501604814815
"266",2,"STANDING","fBodyAcc","Y",108,-0.958890269814815
"267",2,"STANDING","fBodyAcc","Z",108,-0.95445238962963
"268",2,"STANDING","fBodyAccJerk","X",108,-0.981990582685185
"269",2,"STANDING","fBodyAccJerk","Y",108,-0.972185789537037
"270",2,"STANDING","fBodyAccJerk","Z",108,-0.982187528611111
"271",2,"STANDING","fBodyAccMag",NA,108,-0.962285773981482
"272",2,"STANDING","fBodyBodyAccJerkMag",NA,108,-0.976112877777778
"273",2,"STANDING","fBodyBodyGyroJerkMag",NA,108,-0.977802062777778
"274",2,"STANDING","fBodyBodyGyroMag",NA,108,-0.959282315277778
"275",2,"STANDING","fBodyGyro","X",108,-0.971012618333333
"276",2,"STANDING","fBodyGyro","Y",108,-0.971806101666667
"277",2,"STANDING","fBodyGyro","Z",108,-0.965190995925926
"278",2,"STANDING","tBodyAcc","X",108,-0.354680208518519
"279",2,"STANDING","tBodyAcc","Y",108,-0.487862908137963
"280",2,"STANDING","tBodyAcc","Z",108,-0.527825193675926
"281",2,"STANDING","tBodyAccJerk","X",108,-0.453163427898148
"282",2,"STANDING","tBodyAccJerk","Y",108,-0.480365131075093
"283",2,"STANDING","tBodyAccJerk","Z",108,-0.495606517474352
"284",2,"STANDING","tBodyAccJerkMag",NA,108,-0.978582178796296
"285",2,"STANDING","tBodyAccMag",NA,108,-0.961875073148148
"286",2,"STANDING","tBodyGyro","X",108,-0.498430508693056
"287",2,"STANDING","tBodyGyro","Y",108,-0.52674082712037
"288",2,"STANDING","tBodyGyro","Z",108,-0.438510766151852
"289",2,"STANDING","tBodyGyroJerk","X",108,-0.542443079314815
"290",2,"STANDING","tBodyGyroJerk","Y",108,-0.512844606027778
"291",2,"STANDING","tBodyGyroJerk","Z",108,-0.514132033137963
"292",2,"STANDING","tBodyGyroJerkMag",NA,108,-0.980578166018519
"293",2,"STANDING","tBodyGyroMag",NA,108,-0.958704861111111
"294",2,"STANDING","tGravityAcc","X",108,-0.0448786259259259
"295",2,"STANDING","tGravityAcc","Y",108,-0.672128558611111
"296",2,"STANDING","tGravityAcc","Z",108,-0.408089958740741
"297",2,"STANDING","tGravityAccMag",NA,108,-0.961875073148148
"298",2,"WALKING","fBodyAcc","X",118,-0.401849772372881
"299",2,"WALKING","fBodyAcc","Y",118,-0.0955622482677966
"300",2,"WALKING","fBodyAcc","Z",118,-0.454514258135593
"301",2,"WALKING","fBodyAccJerk","X",118,-0.309464193144068
"302",2,"WALKING","fBodyAccJerk","Y",118,-0.0470485178347458
"303",2,"WALKING","fBodyAccJerk","Z",118,-0.585427449067797
"304",2,"WALKING","fBodyAccMag",NA,118,-0.450697319813559
"305",2,"WALKING","fBodyBodyAccJerkMag",NA,118,-0.166578161131356
"306",2,"WALKING","fBodyBodyGyroJerkMag",NA,118,-0.570676924067797
"307",2,"WALKING","fBodyBodyGyroMag",NA,118,-0.59124882720339
"308",2,"WALKING","fBodyGyro","X",118,-0.516883277627119
"309",2,"WALKING","fBodyGyro","Y",118,-0.543909532372881
"310",2,"WALKING","fBodyGyro","Z",118,-0.478258271271186
"311",2,"WALKING","tBodyAcc","X",118,-0.0736081260169491
"312",2,"WALKING","tBodyAcc","Y",118,-0.0483430866132203
"313",2,"WALKING","tBodyAcc","Z",118,-0.265378941440678
"314",2,"WALKING","tBodyAccJerk","X",118,-0.107861196496186
"315",2,"WALKING","tBodyAccJerk","Y",118,0.000823515822033898
"316",2,"WALKING","tBodyAccJerk","Z",118,-0.289097540958475
"317",2,"WALKING","tBodyAccJerkMag",NA,118,-0.222787569504237
"318",2,"WALKING","tBodyAccMag",NA,118,-0.356475881525424
"319",2,"WALKING","tBodyGyro","X",118,-0.307288035748729
"320",2,"WALKING","tBodyGyro","Y",118,-0.293345949745763
"321",2,"WALKING","tBodyGyro","Z",118,-0.199125935881356
"322",2,"WALKING","tBodyGyroJerk","X",118,-0.235716587220339
"323",2,"WALKING","tBodyGyroJerk","Y",118,-0.343985190504237
"324",2,"WALKING","tBodyGyroJerk","Z",118,-0.243493296485593
"325",2,"WALKING","tBodyGyroJerkMag",NA,118,-0.552855050847458
"326",2,"WALKING","tBodyGyroMag",NA,118,-0.499784504576271
"327",2,"WALKING","tGravityAcc","X",118,-0.0298379339830508
"328",2,"WALKING","tGravityAcc","Y",118,-0.659361984830508
"329",2,"WALKING","tGravityAcc","Z",118,-0.443672880254237
"330",2,"WALKING","tGravityAccMag",NA,118,-0.356475881525424
"331",2,"WALKING_DOWNSTAIRS","fBodyAcc","X",94,0.0644728900925532
"332",2,"WALKING_DOWNSTAIRS","fBodyAcc","Y",94,0.225159507361702
"333",2,"WALKING_DOWNSTAIRS","fBodyAcc","Z",94,-0.146661833143617
"334",2,"WALKING_DOWNSTAIRS","fBodyAccJerk","X",94,0.0940398717851064
"335",2,"WALKING_DOWNSTAIRS","fBodyAccJerk","Y",94,0.0885212549446809
"336",2,"WALKING_DOWNSTAIRS","fBodyAccJerk","Z",94,-0.339863072148936
"337",2,"WALKING_DOWNSTAIRS","fBodyAccMag",NA,94,0.135973019209574
"338",2,"WALKING_DOWNSTAIRS","fBodyBodyAccJerkMag",NA,94,0.224864071059574
"339",2,"WALKING_DOWNSTAIRS","fBodyBodyGyroJerkMag",NA,94,-0.361937145957447
"340",2,"WALKING_DOWNSTAIRS","fBodyBodyGyroMag",NA,94,-0.346707649457447
"341",2,"WALKING_DOWNSTAIRS","fBodyGyro","X",94,-0.262606322384043
"342",2,"WALKING_DOWNSTAIRS","fBodyGyro","Y",94,-0.410323285723404
"343",2,"WALKING_DOWNSTAIRS","fBodyGyro","Z",94,-0.255241069357447
"344",2,"WALKING_DOWNSTAIRS","tBodyAcc","X",94,0.161991014754255
"345",2,"WALKING_DOWNSTAIRS","tBodyAcc","Y",94,0.120110186557447
"346",2,"WALKING_DOWNSTAIRS","tBodyAcc","Z",94,-0.109825425223404
"347",2,"WALKING_DOWNSTAIRS","tBodyAccJerk","X",94,0.128644879403936
"348",2,"WALKING_DOWNSTAIRS","tBodyAccJerk","Y",94,0.0617742118712766
"349",2,"WALKING_DOWNSTAIRS","tBodyAccJerk","Z",94,-0.180528595484043
"350",2,"WALKING_DOWNSTAIRS","tBodyAccJerkMag",NA,94,0.117636174239362
"351",2,"WALKING_DOWNSTAIRS","tBodyAccMag",NA,94,0.152768727693617
"352",2,"WALKING_DOWNSTAIRS","tBodyGyro","X",94,-0.218368291440426
"353",2,"WALKING_DOWNSTAIRS","tBodyGyro","Y",94,-0.210281218606383
"354",2,"WALKING_DOWNSTAIRS","tBodyGyro","Z",94,-0.0911222895680851
"355",2,"WALKING_DOWNSTAIRS","tBodyGyroJerk","X",94,-0.151022221202128
"356",2,"WALKING_DOWNSTAIRS","tBodyGyroJerk","Y",94,-0.255771863429787
"357",2,"WALKING_DOWNSTAIRS","tBodyGyroJerk","Z",94,-0.144644650147872
"358",2,"WALKING_DOWNSTAIRS","tBodyGyroJerkMag",NA,94,-0.377030273446809
"359",2,"WALKING_DOWNSTAIRS","tBodyGyroMag",NA,94,-0.21851634873117
"360",2,"WALKING_DOWNSTAIRS","tGravityAcc","X",94,-0.0392652070212766
"361",2,"WALKING_DOWNSTAIRS","tGravityAcc","Y",94,-0.632924313085106
"362",2,"WALKING_DOWNSTAIRS","tGravityAcc","Z",94,-0.487663664731915
"363",2,"WALKING_DOWNSTAIRS","tGravityAccMag",NA,94,0.152768727693617
"364",2,"WALKING_UPSTAIRS","fBodyAcc","X",96,-0.293651673822917
"365",2,"WALKING_UPSTAIRS","fBodyAcc","Y",96,0.0474023689634375
"366",2,"WALKING_UPSTAIRS","fBodyAcc","Z",96,-0.187773481316667
"367",2,"WALKING_UPSTAIRS","fBodyAccJerk","X",96,-0.31202744059375
"368",2,"WALKING_UPSTAIRS","fBodyAccJerk","Y",96,-0.215698139189583
"369",2,"WALKING_UPSTAIRS","fBodyAccJerk","Z",96,-0.573909522395833
"370",2,"WALKING_UPSTAIRS","fBodyAccMag",NA,96,-0.256023391453125
"371",2,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag",NA,96,-0.224967487932292
"372",2,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag",NA,96,-0.611309349583333
"373",2,"WALKING_UPSTAIRS","fBodyBodyGyroMag",NA,96,-0.444616293333333
